,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0.0,0.0,0.0,0.0,0.0014184397163120568,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1,0.0,0.0,0.0,0.0,0.0028368794326241137,0.0010004138863873215,0.0,0.5,0.0,0.0,0.0,0.14285714285714285,0.08333333333333333,0.0,0.05263157894736842,1.0,0.0,0
2,0.0,0.0,0.0,0.0,0.0014184397163120568,0.0,1.0,1.0,0.0,0.0,0.0,0.42857142857142855,0.0,1.0,0.10526315789473684,1.0,0.0,0
3,0.0,0.0,0.0,0.0,0.0028368794326241137,4.1683911938015554e-05,0.25,0.7000000000000001,0.0,0.0,0.0,0.2857142857142857,0.08333333333333333,0.125,0.15789473684210525,1.0,0.0,0
4,0.0,0.0,0.0,0.0,0.014184397163120569,0.009808745526688192,0.1,0.25,0.0,0.0,0.0,0.2857142857142857,0.16666666666666669,0.0,0.15789473684210525,1.0,1.0,0
5,0.0,0.0,0.0,0.0,0.02695035460992908,0.0024106327324850815,0.07894736999999999,0.12280701999999999,0.0,0.0,0.0,0.14285714285714285,0.08333333333333333,0.0,0.10526315789473684,1.0,0.0,0
6,0.0,0.0,0.0,0.0,0.0014184397163120568,0.0,1.0,1.0,0.0,0.4,0.0,0.14285714285714285,0.25,0.25,0.10526315789473684,1.0,0.0,0
7,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.21052631578947367,1.0,1.0,0
8,0.0,0.0,0.0,0.0,0.0028368794326241137,0.0005783642780676703,0.0,0.5,0.0,0.8,0.0,0.14285714285714285,0.08333333333333333,0.125,0.10526315789473684,1.0,0.0,0
9,0.0,0.0,0.0,0.0,0.00425531914893617,0.0115360226274038,0.0,0.11111111000000001,0.0,0.4,0.0,0.14285714285714285,0.25,0.0,0.05263157894736842,1.0,0.0,0
10,0.0,0.0,0.0,0.0,0.00425531914893617,0.00617442945504675,0.0,0.333333335,0.0,0.0,0.0,0.0,0.0,0.25,0.10526315789473684,1.0,0.0,0
11,0.0,0.0,0.0,0.0,0.02269503546099291,0.006373730658975474,0.09375,0.12916666499999999,0.0,0.4,0.0,0.0,0.0,0.375,0.10526315789473684,1.0,0.0,0
12,0.0,0.0,0.0,0.0,0.009929078014184398,0.004384626486431933,0.0,0.142857145,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,1.0,0.0,0
13,0.0,0.0,0.0,0.0,0.00851063829787234,0.0015318837635305861,0.0,0.333333335,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.0,0.10526315789473684,1.0,0.0,0
14,0.0,0.0,0.0,0.0,0.0028368794326241137,0.0010629397542865292,0.0,0.5,0.0,0.0,0.0,0.2857142857142857,0.08333333333333333,0.25,0.10526315789473684,1.0,0.0,0
15,0.07407407407407407,0.01559396837072453,0.0,0.0,0.03262411347517731,0.026077743742201953,0.041666665,0.08156318000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.10526315789473684,1.0,0.0,0
16,0.0,0.0,0.0,0.0,0.0014184397163120568,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.375,0.10526315789473684,1.0,0.0,0
